Dataset, Objective Value, Runtime (seconds)
NFL23_important233.csv, 138.29999999999998, 0.16588878631591797
NFL23_important251.csv, 61.3, 0.9919431209564209
NFL23_important211.csv, 160.20000000000005, 0.2692911624908447
NFL23_important307.csv, 139.29999999999998, 0.16666126251220703
NFL23_important109.csv, 208.00000000000003, 0.4543285369873047
NFL23_important277.csv, 133.29999999999998, 0.15290594100952148
NFL23_important311.csv, 120.0, 0.12831354141235352
NFL23_important313.csv, 177.30000000000004, 0.3689141273498535
NFL23_important383.csv, 62.8, 0.9265275001525879
NFL23_important389.csv, 132.7, 0.09563016891479492
NFL23_important457.csv, 158.8, 0.19332408905029297
NFL23_important397.csv, 184.29999999999995, 0.39622068405151367
NFL23_important379.csv, 57.699999999999996, 0.239091157913208
NFL23_important491.csv, 66.39999999999999, 1.3689641952514648
NFL23_important593.csv, 148.3, 0.38736581802368164
NFL23_important659.csv, 183.10000000000002, 0.2737290859222412
NFL23_important751.csv, 191.80000000000004, 0.31435537338256836
NFL23_important983.csv, 137.0, 0.17076683044433594
NFL23_important641.csv, 145.4, 0.21124863624572754
